,DispNum3,DispNum4,StAbb,ccode,StDay,StMon,StYear,EndDay,EndMon,EndYear,SideA,RevState,RevType1,RevType2,Fatality,FataPre,HiAct,HostLev,Orig,Version
66,31,,ITA,325,30.0,5,1900,16.0,8,1900,1,0,0,,1.0,,16,4,1,4.01
67,31,,GMY,255,30.0,5,1900,16.0,8,1900,1,0,0,,2.0,,16,4,1,4.01
68,31,,USA,2,30.0,5,1900,16.0,8,1900,1,0,0,,2.0,,20,5,1,4.01
69,31,,UKG,200,30.0,5,1900,16.0,8,1900,1,1,2,,2.0,,20,5,1,4.01
70,31,,FRN,220,30.0,5,1900,16.0,8,1900,1,0,0,,2.0,,20,5,1,4.01
71,31,,USR,365,30.0,5,1900,16.0,8,1900,1,1,2,,4.0,,20,5,1,4.01
72,31,,JPN,740,30.0,5,1900,16.0,8,1900,1,1,2,,5.0,,20,5,1,4.01
73,31,,CHN,710,30.0,5,1900,16.0,8,1900,0,0,0,,6.0,,20,5,1,4.01
74,38,,USA,2,29.0,12,1837,5.0,1,1838,0,0,0,,0.0,0.0,7,3,1,4.01
75,38,,UKG,200,29.0,12,1837,5.0,1,1838,1,1,2,,0.0,0.0,16,4,1,4.01
76,40,,JPN,740,10.0,4,1928,18.0,11,1928,1,0,0,,1.0,,14,4,1,4.01
77,40,,CHN,710,10.0,4,1928,18.0,11,1928,0,0,0,,3.0,,17,4,1,4.01
78,41,,USR,365,27.0,5,1929,3.0,12,1929,0,0,0,,3.0,,20,5,1,4.01
79,41,,CHN,710,27.0,5,1929,3.0,12,1929,1,0,0,,6.0,,20,5,1,4.01
80,43,,GMY,255,14.0,11,1897,6.0,3,1898,1,1,2,,0.0,0.0,17,4,1,4.01
81,43,,CHN,710,14.0,11,1897,6.0,3,1898,0,0,0,,0.0,0.0,17,4,1,4.01
82,50,,ROK,732,13.0,2,1953,13.0,2,1953,1,1,1,,0.0,0.0,1,2,0,4.01
83,50,,USR,365,4.0,8,1954,8.0,8,1954,0,1,1,,0.0,0.0,7,3,0,4.01
84,50,,USA,2,11.0,2,1953,19.0,1,1956,1,1,1,,0.0,0.0,7,3,1,4.01
85,50,,CHN,710,11.0,2,1953,19.0,1,1956,0,1,1,,2.0,,17,4,1,4.01
86,50,,TAW,713,11.0,2,1953,19.0,1,1956,1,1,1,,2.0,,17,4,1,4.01
87,51,,NEW,920,29.0,6,1950,27.0,7,1953,0,0,0,,0.0,0.0,20,5,0,4.01
88,51,,PHI,840,16.0,9,1950,27.0,7,1953,0,0,0,,2.0,,20,5,0,4.01
89,51,,NTH,210,20.0,1,1951,27.0,7,1953,0,0,0,,3.0,,20,5,0,4.01
90,51,,GRC,350,20.0,1,1951,27.0,7,1953,0,0,0,,3.0,,20,5,0,4.01
91,51,,BEL,211,20.0,1,1951,27.0,7,1953,0,0,0,,3.0,,20,5,0,4.01
92,51,,COL,100,6.0,6,1951,27.0,7,1953,0,0,0,,3.0,,20,5,0,4.01
93,51,,THI,800,20.0,1,1951,27.0,7,1953,0,0,0,,3.0,,20,5,0,4.01
94,51,,ETH,530,1.0,5,1951,27.0,7,1953,0,0,0,,3.0,,20,5,0,4.01
95,51,,CAN,20,29.0,6,1950,27.0,7,1953,0,0,0,,4.0,,20,5,0,4.01
96,51,,FRN,220,1.0,1,1951,27.0,7,1953,0,0,0,,4.0,,20,5,0,4.01
97,51,,AUL,900,1.0,7,1950,27.0,7,1953,0,0,0,,4.0,,20,5,0,4.01
98,51,,TUR,640,18.0,10,1950,27.0,7,1953,0,0,0,,5.0,,20,5,0,4.01
99,51,,UKG,200,28.0,6,1950,27.0,7,1953,0,0,0,,5.0,,20,5,0,4.01
100,51,,CHN,710,30.0,9,1950,27.0,7,1953,1,0,0,,6.0,,20,5,0,4.01
101,51,,ROK,732,24.0,6,1950,27.0,7,1953,0,1,1,,6.0,,20,5,1,4.01
102,51,,USA,2,27.0,6,1950,27.0,7,1953,0,0,0,,6.0,,20,5,0,4.01
103,51,,PRK,731,24.0,6,1950,27.0,7,1953,1,1,1,,6.0,,20,5,1,4.01
104,53,,USA,2,22.0,8,1956,23.0,8,1956,0,0,0,,0.0,0.0,7,3,1,4.01
105,53,,CHN,710,22.0,8,1956,23.0,8,1956,1,0,0,,0.0,0.0,16,4,1,4.01
106,55,,GRC,350,29.0,8,1923,27.0,9,1923,0,0,0,,0.0,0.0,0,1,1,4.01
107,55,,ITA,325,29.0,8,1923,27.0,9,1923,1,1,1,,0.0,0.0,16,4,1,4.01
108,56,,TUR,640,15.0,2,1897,15.0,8,1897,0,0,0,,,,0,1,1,4.01
109,56,,GRC,350,15.0,2,1897,15.0,8,1897,0,0,0,,,,0,1,1,4.01
110,56,,FRN,220,15.0,2,1897,15.0,8,1897,1,1,2,,,,16,4,1,4.01
111,56,,GMY,255,15.0,2,1897,15.0,8,1897,1,1,2,,0.0,0.0,16,4,1,4.01
112,56,,AUH,300,15.0,2,1897,15.0,8,1897,1,1,2,,0.0,0.0,16,4,1,4.01
113,56,,ITA,325,15.0,2,1897,15.0,8,1897,1,1,2,,0.0,0.0,16,4,1,4.01
114,56,,UKG,200,15.0,2,1897,15.0,8,1897,1,1,2,,0.0,0.0,16,4,1,4.01
115,56,,USR,365,15.0,2,1897,15.0,8,1897,1,1,2,,0.0,0.0,16,4,1,4.01
116,57,,AUH,300,20.0,4,1854,30.0,3,1856,0,0,0,,0.0,0.0,7,3,0,4.01
117,57,,USR,365,31.0,5,1853,30.0,3,1856,1,1,2,,6.0,,20,5,1,4.01
118,57,,ITA,325,10.0,1,1855,30.0,3,1856,0,0,0,,6.0,,20,5,0,4.01
119,57,,TUR,640,31.0,5,1853,30.0,3,1856,0,0,0,,6.0,,20,5,1,4.01
